,t,V,X,S,P,G,Gfed,Gcon,r_V,q_V,r_X,q_X,r_S,q_S,r_P,q_P,r_G,q_G,r_Gfed,q_Gfed,r_Gcon,q_Gcon
31,0.3672663812640861,0.5018401659878376,1.378743193873088,29.90447717907313,0.9110801303241298,0.3578077433227428,4.596434457354614,4.238626714031872,0.006812592428971698,0.0049411612396316855,1.3167130252238053,0.955009628388423,-0.33208819209176,-0.24086297837589063,0.5582668847061427,0.40490998409782947,3.473761707467183,2.5195132225522627,17.016744571627555,12.342214741111484,13.542982864160308,9.822701518559175
32,0.37318565102524986,0.5018804915601977,1.3865814829794434,29.902500284177616,0.9144027670199842,0.3779141327899477,4.697161158930955,4.319247026141007,0.0068125924289859086,0.004913229054773774,1.3241986634537852,0.9550096259820144,-0.3339761449096841,-0.24086297776892743,0.5613254387651523,0.40482686784406896,3.3967685674882873,2.4497432059956665,17.016744571637446,12.272444699804003,13.619976004149066,9.822701493808271
33,0.37910492078641367,0.5019208171325577,1.3944643334469757,29.9005121504612,0.9177436034202147,0.3975621887106487,4.797887860507482,4.400325671796835,0.0068125924289859086,0.004885454769679096,1.3317268490197023,0.9550096170102876,-0.33587482859093143,-0.24086297550592964,0.5644000924150419,0.40474329739212583,3.319337809135085,2.3803676648581003,17.016744571668823,12.203069066388482,13.697406762533888,9.82270140153049
34,0.38502419054757747,0.5019611427049179,1.4023919985914801,29.898512714035103,0.9211027352892285,0.4167493056185981,4.89861456208429,4.481865256465692,0.00681259242901433,0.00485783749184015,1.3392978296947433,0.9550096057592267,-0.3377843056277925,-0.24086297266887774,0.5674909244807509,0.4046592714809565,3.2414668839449803,2.311384325638346,17.016744571716117,12.13408561144617,13.775277687770995,9.822701285807723
35,0.3909434603087413,0.5020014682772781,1.4103647331953864,29.89650191064065,0.9244802588580187,0.43547286296251,4.999341263661434,4.563868400698926,0.006812592429028541,0.004830376333640747,1.346911853251754,0.9550095954258084,-0.33970463850801025,-0.24086297006190732,0.5705980137871052,0.40457478860403184,3.1631532434552554,2.242790938404048,17.016744571773074,12.065492117928365,13.853591328317975,9.822701179524428
36,0.3968627300699051,0.5020417938496385,1.4183827935077609,29.89447967564927,0.9278762708241636,0.4537302251060608,5.100067965238942,4.646337740132882,0.006812592429056963,0.004803070412472321,1.3545691674640068,0.955009588147965,-0.34163588972660364,-0.24086296822715533,0.5737214391589305,0.40448984701800905,3.0843943392032855,2.17458527650026,17.016744571834465,11.997286381168552,13.932350232631052,9.822701104668202
37,0.4155654082768973,0.5021692075735953,1.4440176411831351,29.88801431071706,0.9387289945086174,0.5083230397077122,5.418326663098604,4.910003623390893,0.00681259242909249,0.004717804156125606,1.3706511651251247,0.9491928118011781,-0.3456919303562245,-0.23939591906438673,0.5802764483429073,0.4018485867440415,2.9189837945905097,2.02143222585486,17.016744571944628,11.784305182035174,14.097760777354154,9.762872956180338
38,0.43426808648388954,0.5022966212975525,1.4701157954670803,29.881432095225108,0.9497703612421018,0.5581505384513501,5.73658536095916,5.1784348225078105,0.006812592429117359,0.004634051582959073,1.3954233717280147,0.9491928295924916,-0.3519397285836021,-0.23939592355157643,0.5903628673542869,0.401575759660972,2.664190560954488,1.8122317773669183,17.016744571992433,11.575104916538857,14.352554011037853,9.762873139171875
39,0.45297076469088177,0.5024240350215095,1.4966856299644267,29.874730917266533,0.9610035132126096,0.6031265950618313,6.054844058819417,5.451717463757586,0.006812592429106701,0.004551785821093654,1.4206433005628583,0.9491928512713951,-0.3583004468348463,-0.2393959290190836,0.6006172937471632,0.4012982297167099,2.404792303685486,1.6067451010020344,17.01674457197646,11.369618463151086,14.611952268290906,9.762873362149007
40,0.47167344289787405,0.5025514487454665,1.5237356679968521,29.867908627174376,0.9724316394391858,0.6431635433607023,6.373102756679675,5.729939213318973,0.006812592429113806,0.004470980480538229,1.4463189567316732,0.9491928207161068,-0.3647761040772366,-0.23939592131277077,0.6110422314972865,0.40101590080947613,2.140706686805025,1.4049068560685865,17.016744571976403,11.167779903942996,14.8760378851714,9.762873047874423
41,0.4903761211048663,0.5026788624694236,1.5512745889496038,29.860963035920882,0.9840579773625784,0.6781721119855504,6.691361454539932,6.013189342554381,0.006812592429113806,0.004391609633550909,1.4724586846848382,0.9491928090447654,-0.3713688048644599,-0.2393959183692427,0.6216402696297223,0.40072871305823826,1.8718478838907586,1.2066515478463558,17.016744571976403,10.969524475675676,15.144896688085623,9.762872927829306
42,0.5090787993118585,0.5028062761933807,1.5793112294147058,29.853891914829177,0.995885813109473,0.7080614126320997,7.009620152400403,6.301558739768305,0.0068125924291102535,0.004313647811923053,1.499070889997995,0.9491928266435186,-0.378080669166593,-0.2393959228078876,0.6324140112977332,0.4004365950922203,1.5981294398454011,1.0119154540790984,17.016744571987942,10.774788562919522,15.418615132142634,9.762873108840482
43,0.5277814775188507,0.5029336899173386,1.6078545851027481,29.846692995091097,1.0079184816365578,0.7327389203917407,7.3278788502626435,6.5951399298709035,0.006812592429156439,0.004237070001402576,1.5261640804668843,0.949192852766195,-0.38491384273447693,-0.2393959293961148,0.6433660673574693,0.4001394611916075,1.3194638482532994,0.8206363065904873,17.016744572082473,10.583509684114274,15.697280723829124,9.762873377523755
44,0.546484155725843,0.5030611036412939,1.63691381234301,29.83936396738883,1.0201593667455475,0.752110458311278,7.646137548118739,6.894027089807462,0.00681259242901433,0.004161851636686399,1.5537468440962527,0.9491928239473307,-0.3918704915492981,-0.23939592212762323,0.6544990494683987,0.39983720861367533,1.0357627771350408,0.6327533980866673,17.016744571753918,10.395626479195542,15.980981794618913,9.762873081108896
45,0.5651868339328352,0.5031885173652455,1.6664982350048485,29.83190248014929,1.032611902739402,0.7660801262173434,7.9643962459652995,7.198316119747957,0.006812592428822484,0.004087968583298658,1.5818281389655766,0.9491928078525534,-0.3989528749286819,-0.2393959180685968,0.665815657845144,0.3995297707850299,0.7469340888751788,0.44820574854854595,17.01674457124409,10.211078664115465,16.269810482368882,9.762872915566902
46,0.578741408126329,0.5032808591547706,1.6882728677890078,29.826410700014794,1.0417710073021778,0.7727730078814197,8.195050972784765,7.422277964903347,0.006812592428723008,0.004035243685249115,1.6064416685705254,0.9515296367194185,-0.4051606532302685,-0.23998528967706156,0.6757205672438005,0.40024369291010176,0.4937729189079789,0.29247222313928006,17.016744571008303,10.079380469635655,16.52297165210041,9.786908246496425
47,0.5922959823198227,0.5033732009442962,1.7103320102454782,29.82084716369585,1.051044453860634,0.7765395802117608,8.42570569960517,7.64916611939341,0.0068125924287514295,0.003983198810489222,1.6274316065980798,0.9515296426946368,-0.4104545254999721,-0.23998529118393855,0.684156243204427,0.4000137044188469,0.2778820106462021,0.16247255444065425,17.016744571077652,9.949380862394838,16.738862560431585,9.786908307954262
48,0.6058505565133165,0.5034655427338217,1.7325799397969759,29.815236013383664,1.062436644992035,0.7774216749816476,8.656360426425659,7.878938751444017,0.0068125924287514295,0.003932050852181591,1.6413595317643086,0.9473499571723332,-0.4139672875062388,-0.2389311326984125,0.8404683886616908,0.48509645607473506,0.06507727629763593,0.037560908332611595,17.016744571083905,9.821621606145301,16.95166729478649,9.784060697812818
49,0.6194051307068102,0.5035578845233473,1.7530720630449546,29.810067694979292,1.1141481331765855,0.7774216749816476,8.887015153246152,8.10959347826451,0.0068125924287514295,0.0038860880692596677,1.51182345940569,0.8623852329149357,-0.38129699469664047,-0.2175021795934368,3.815058108529314,2.1762129401017574,0.0,0.0,17.016744571084246,9.706814072165088,17.016744571084132,9.706814072165022
50,0.6329597049003041,0.5036502263128728,1.7719533226838986,29.805305652485753,1.2010400951074163,0.7774216749816476,9.117669880066646,8.340248205085004,0.0068125924287514295,0.0038446793950715923,1.3929806550475803,0.7861271723217261,-0.3513236510098068,-0.19826913413140732,6.41052685908339,3.6177741123415434,0.0,0.0,17.016744571084246,9.603381958904958,17.016744571084246,9.603381958904958
51,0.6465142790937978,0.5037425681023984,1.7897893658698945,29.800807224033814,1.310701777097563,0.7774216749816476,9.348324606887136,8.570902931905493,0.0068125924287514295,0.0038063654632567857,1.3158689407268298,0.735208827261791,-0.3318753055405068,-0.18542701832358072,8.090381920133296,4.520298351533178,0.0,0.0,17.01674457108402,9.507680007257916,17.01674457108402,9.507680007257916
52,0.6600688532872916,0.5038349098919239,1.8068596034975068,29.796501939401754,1.4369995226445327,0.7774216749816476,9.57897933370763,8.801557658725988,0.0068125924287514295,0.0037704049697964426,1.2593709978588663,0.696994384854874,-0.3176259593701616,-0.17578895380434567,9.317721364319397,5.156859639942829,0.0,0.0,17.01674457108436,9.417856560711934,17.016744571084246,9.417856560711872
53,0.6736234274807853,0.5039272516814495,1.823330509388441,29.792347812227,1.5762768507732219,0.7774216749816476,9.809634060528122,9.03221238554648,0.0068125924287514295,0.0037363453272311145,1.2151547998343233,0.6664479059487111,-0.3064741920661618,-0.16808482635929542,10.27530087928129,5.635457107953348,0.0,0.0,17.016744571084132,9.332781129621791,17.016744571084132,9.332781129621791
54,0.6871780016742791,0.5040195936782208,1.8393123302107248,29.78831703719741,1.7261109969028292,0.7774221076492102,10.040289305015202,9.262867197365997,0.006812607718480024,0.0037038884623252226,1.179072141562017,0.6410396549817801,-0.2973737848237761,-0.16167661138318298,11.054138919504197,6.009930308159113,3.192040976784938e-05,1.735453475929906e-05,17.016782762367825,9.251709175688644,17.0167508419579,9.2516918211538
